band_id,item_id,outcome,note
sisters-of-sigmar,holy_tome,creation-price,Verified on the Sisters of Sigmar page: 120 gc is the creation-list price; the page's own Trading Post section prices the Holy Tome 100 + D6x10 (Rare 8).
mercenaries,duelling_pistol,creation-price,Verified on the Mercenaries page: 25 gc (50 for a brace) is the printed creation-list price; no market-exception rule.
carnival-of-chaos,bow,creation-price,Verified on the Carnival of Chaos page: bow 15 gc is the printed creation-list price; no market-exception rule.
carnival-of-chaos,short_bow,creation-price,Verified on the Carnival of Chaos page: short bow 10 gc is the printed creation-list price; no market-exception rule.
carnival-of-chaos,flail,creation-price,Verified on the Carnival of Chaos page: Brute list flail 10 gc is the printed creation-list price; no market-exception rule.
cult-of-the-possessed,bow,creation-price,Verified on the Cult of the Possessed page: bow 15 gc is the printed creation-list price; no market-exception rule.
cult-of-the-possessed,short_bow,creation-price,Verified on the Cult of the Possessed page: short bow 10 gc is the printed creation-list price; no market-exception rule.
amazons-mordheim,sling,creation-price,Verified on the Amazons (Mordheim) page: sling 5 gc is the printed Henchwomen/Scout creation price (Town Cryer #23).
amazons-mordheim,healing_herbs,creation-price,Verified on the Amazons (Mordheim) page: healing herbs 35 gc is the printed Heroines-list price (Town Cryer #23).
gunnery-school-of-nuln,superior_blackpowder,creation-price,Verified on the Gunnery School page: superior black powder 25 gc is a Miscellaneous creation-list price; Impeccable Care covers black-powder weapons only.
hochland-bandits,buckler,creation-price,Verified on the Hochland Bandits page: Duelist-list buckler 10 gc is the printed creation price; Powder's Expensive! covers black-powder weapons only.
lizardmen,javelins,creation-price,Verified on the Lizardmen page: Skink javelins 10 gc is the printed creation-list price; the Armour rule covers light armour only.
amazons-lustria,sling,creation-price,Verified on the Amazons (Lustria) page (Town Cryer #15): sling 5 gc is the printed Henchwomen/Jaguar creation-list price; no market-exception rule.
amazons-lustria,healing_herbs,creation-price,Verified on the Amazons (Lustria) page (Town Cryer #15): healing herbs 35 gc is the printed Heroines Miscellaneous creation-list price; no market-exception rule.
arabian-tomb-raiders,light_armour,creation-price,Verified on the Arabian Tomb Raiders page (Town Cryer #20): light armour 50 gc is the printed Warrior creation-list price; no market-exception rule.
averlanders,duelling_pistol,creation-price,Verified on the Averlander Mercenaries page (Town Cryer #10/Annual 2002): duelling pistol 25 gc (50 for a brace) is the printed Mountainguard creation-list price; no market-exception rule.
averlanders,hunting_arrows,creation-price,Verified on the Averlander Mercenaries page: hunting arrows 35 gc (Bergjaeger only) is the printed Scout creation-list price; no market-exception rule.
battle-monks-of-cathay,cathayan_silk_cloak,creation-price,Verified on the Battle Monks of Cathay page (Border Town Burning): Cathayan silk cloak 40 gc (Emissary only) is the printed Soldier-list creation price; no market-exception rule.
battle-monks-of-cathay,horse,creation-price,Verified on the Battle Monks of Cathay page (Border Town Burning): horse 30 gc (Emissary only) is the printed Soldier-list creation price; no market-exception rule.
black-dwarfs,dagger,creation-price,Verified on the Black Dwarfs page (Border Town Burning): dagger "1st free/2 gc" is the printed Chaos Dwarf creation-list price; no market-exception rule.
black-dwarfs,engine_of_chaos,creation-price,Verified on the Black Dwarfs page (Border Town Burning): Engine of Chaos 125 gc is the printed creation-list price; the page states full prices (195 gc) apply in Mordheim, matching the Trading Post.
black-dwarfs,mechanical_suit,creation-price,Verified on the Black Dwarfs page (Border Town Burning): Mechanical Suit 175 gc (Sorcerer only) is the printed creation-list price; the page states full prices (225 gc) apply in Mordheim, matching the Trading Post.
bretonnian-chapel-guard,barding,creation-price,Verified on the Bretonnian Chapel Guard page (fan web source): barding 30 gc is the printed Knights creation-list price; no market-exception rule.
bretonnian-chapel-guard,lance_not_questing_knight,creation-price,Verified on the Bretonnian Chapel Guard page: lance (Not Questing Knight) 20 gc is the printed Knights creation-list price (Questing Knight's Vow of Poverty bans it); no market-exception rule.
bretonnian-chapel-guard,holy_relic_pilgrim_only,creation-price,Verified on the Bretonnian Chapel Guard page: Holy Relic (Pilgrim only) 25 gc is the printed Pilgrims' Miscellaneous creation-list price; no market-exception rule.
bretonnian-knights,lance,creation-price,Verified on the Bretonnian page (Town Cryer #8): Lance 20 gc is the printed Knights Equipment List price; Trading Post 40 gc (rare) applies outside creation, no market-exception clause.
kislevites,duelling_pistol,creation-price,Verified on the Kislevites page (TC#16/Annual 2002): Duelling Pistol 25 gc (50 brace) printed in both Kislev Warrior and Streltsi lists; Trading Post 30 gc (rare) applies outside creation, no market-exception clause.
dark-elves,dark_elf_blade_weapon_upgrade,creation-price,Verified on the Dark Elves page (TC#12): Dark Elf Blade weapon upgrade +15 gc printed in Dark Elf Equipment List; Trading Post 20 gc (rare) applies outside creation, no market-exception clause.
dark-elves,dark_venom,creation-price,Verified on the Dark Elves page (TC#12): Dark Venom 15 gc printed in Dark Elf Equipment List (Heroes only); Trading Post 30 gc + dice is the separate market price, no market-exception clause.
dark-elves,repeater_crossbow,creation-price,Verified on the Dark Elves page (TC#12): Repeater Crossbow 35 gc printed in both Dark Elf and Shades lists; Trading Post 40 gc (rare) applies outside creation, no market-exception clause.
dwarf-rangers,gromril_armour,creation-price,Verified on the Dwarf Rangers page (Nemesis Crown): Gromril armour 75 gc printed in Dwarf Warrior list; footnote states later purchases use the normal Mordheim price chart (150 gc) — creation-list discount, not a market exception.
dwarf-treasure-hunters,gromril_armour,creation-price,Verified on the Dwarf Treasure Hunters page (TC#16): Gromril armour 75 gc is the printed creation-list price with the same stronghold-footnote as Dwarf Rangers; Trading Post 150 gc (rare) applies later, no market exception.
forest-goblins,spear,creation-price,Verified on the Forest Goblins page (Nemesis Crown): Spear 5 gc printed in both Hero and Henchmen equipment lists; Trading Post 10 gc (common) is the standard Mordheim price — creation-list discount, no market exception.
horned-hunters,spear,creation-price,Verified on the Horned Hunters page: Spear 5 gc is the printed creation-list price (same Nemesis Crown goblin lists); Trading Post 10 gc applies later, no market exception.
horned-hunters,hunting_arrows,creation-price,Verified on the Horned Hunters page (Nemesis Crown): Hunting arrows 20 gc printed in the Horned Hunter equipment list Miscellaneous section; Trading Post 25 gc + dice is the separate market price, no market-exception clause.
khemri-cursed-of-karak-zorn,MANUAL-ONLY,deferred,Not verifiable online: Khemri supplement bands have no mordheimer.net page (checked warband index and site search; original khemri website dead). Requires offline verification against the printed manual (band.yaml sources: manual=khemri pp.64-69).
cursed-cavalcade,duelling_pistol,creation-price,Verified on the Cursed Cavalcade page (Tuomas Pirinen, 2025): Duelling pistol 25 gc (50 brace) printed in Heroes Equipment List; Trading Post 30 gc (rare) applies outside creation, no market-exception clause.
cursed-cavalcade,lance,creation-price,Verified on the Cursed Cavalcade page: Lance 20 gc printed in Heroes Equipment List; Trading Post 40 gc (rare) applies outside creation, no market-exception clause.
cursed-cavalcade,misericordia,creation-price,Verified on the Cursed Cavalcade page: Misericordia 5 gc printed in Heroes Equipment List (Special Equipment entry is Rare 9 but same 5 gc cost); creation-list price confirmed.
night-goblins-mic,mad_cap_mushrooms,creation-price,Verified on the Night Goblins (MIC) page: Mad Cap Mushrooms 25 gc printed in the Fanatic Equipment List Miscellaneous; Trading Post 30 gc + dice is the market price, no market-exception clause.
night-goblins-web,mad_cap_mushrooms,creation-price,Verified on the Night Goblins (web) page: Mad Cap Mushrooms 15 gc printed in Hero, Henchmen and Fanatic lists; Trading Post 30 gc + dice is the market price, no market-exception clause.
night-goblins-web,spear,creation-price,Verified on the Night Goblins (web) page: Spear 5 gc printed in Henchmen list with explicit note "equipment list prices are only applicable at warband creation"; Trading Post 10 gc applies later, no market exception.
orc-mob,mad_cap_mushrooms,creation-price,Verified on the Orc Mob page (TC#6/Annual 2002): Mad Cap Mushrooms 25 gc printed in Goblin Equipment List Miscellaneous; Trading Post 30 gc + dice is the market price, no market-exception clause.
outlaws-of-stirwood-forest,hunting_arrows,creation-price,Verified on the Outlaws of Stirwood Forest page (TC#29): Hunting Arrows 30 gc printed in the equipment list; page states the item is Heroes-only at initial recruitment without rarity roll, later purchase rolls rarity as normal — creation-list price confirmed, no price exception.
shadow-warriors,elven_cloak,creation-price,Verified on the Shadow Warriors page (TC#10/Annual 2002): Elven Cloak 75 gc printed in Miscellaneous Equipment; asterisk note: "special prices represent the lower rarity in Ulthuan; when attempting to purchase in Mordheim (or Lustria), Shadow Warriors pay the same prices as other Warbands" — creation-list price confirmed.
shadow-warriors,ithilmar_armour,creation-price,Verified on the Shadow Warriors page (TC#10/Annual 2002): Ithilmar armour 60 gc printed with same asterisk note (Ulthuan special prices; market purchases pay standard prices 90 gc) — creation-list price confirmed.
sons-of-hashut,obsidian_weapon,creation-price,Verified on the Sons of Hashut page (GW Troll Magazine Spain, ed. 2025): Obsidian weapon 30 gc printed in Chaos Dwarf equipment list; Special Equipment lists it at 60 gc (Rare 10). Creation list is half price at warband creation — creation-list price confirmed, not a market exception.
tileans,duelling_pistol,creation-price,Verified on the Tileans page (TC#14): Duelling Pistol 25 gc (50 brace) printed in both Tilean and Marksman equipment lists; Trading Post 30 gc (rare) applies outside creation, no market-exception clause.
khemri-mages,MANUAL-ONLY,deferred,Not verifiable online: Khemri supplement bands have no mordheimer.net page; requires offline verification against the printed manual (band.yaml sources: manual=khemri).
khemri-nomads-of-araby,MANUAL-ONLY,deferred,Not verifiable online: Khemri supplement bands have no mordheimer.net page; requires offline verification against the printed manual (band.yaml sources: manual=khemri).
khemri-hobgoblin-raiders,MANUAL-ONLY,deferred,Not verifiable online: Khemri supplement bands have no mordheimer.net page; requires offline verification against the printed manual (band.yaml sources: manual=khemri).
khemri-lahmian-brotherhood,MANUAL-ONLY,deferred,Not verifiable online: Khemri supplement bands have no mordheimer.net page; requires offline verification against the printed manual (band.yaml sources: manual=khemri).
chaos-streets-bretonnian-knights,MANUAL-ONLY,deferred,Not verifiable online: Chaos in the Streets supplement bands have no mordheimer.net page; requires offline verification against the printed manual (band.yaml sources: manual=chaos-in-the-streets pp.104-109).
chaos-streets-dwarf-treasure-hunters,MANUAL-ONLY,deferred,Not verifiable online: Chaos in the Streets supplement bands have no mordheimer.net page; requires offline verification against the printed manual (band.yaml sources: manual=chaos-in-the-streets pp.110-115).
chaos-streets-greenskins,MANUAL-ONLY,deferred,Not verifiable online: Chaos in the Streets supplement bands have no mordheimer.net page; requires offline verification against the printed manual (band.yaml sources: manual=chaos-in-the-streets pp.126-135).
chaos-streets-sigmar-protectorate,MANUAL-ONLY,deferred,Not verifiable online: Chaos in the Streets supplement bands have no mordheimer.net page; requires offline verification against the printed manual (band.yaml sources: manual=chaos-in-the-streets pp.150-155).
chaos-streets-sons-of-nagarythe,MANUAL-ONLY,deferred,Not verifiable online: Chaos in the Streets supplement bands have no mordheimer.net page; requires offline verification against the printed manual (band.yaml sources: manual=chaos-in-the-streets pp.136-142).
lustria-amazons,MANUAL-ONLY,deferred,Not verifiable online: band sourced from printed Lustria manual (band.yaml sources: manual=lustria pp.66-72); requires offline verification.
lustria-clan-pestilens,MANUAL-ONLY,deferred,Not verifiable online: band sourced from printed Lustria manual (manual=lustria); requires offline verification.
lustria-dark-elves,MANUAL-ONLY,deferred,Not verifiable online: band sourced from printed Lustria manual (manual=lustria pp.58-65); requires offline verification.
lustria-high-elves,MANUAL-ONLY,deferred,Not verifiable online: band sourced from printed Lustria manual (manual=lustria); requires offline verification.
lustria-lizardmen,MANUAL-ONLY,deferred,Not verifiable online: band sourced from printed Lustria manual (manual=lustria); requires offline verification.
lustria-norse,MANUAL-ONLY,deferred,Not verifiable online: band sourced from printed Lustria manual (manual=lustria); requires offline verification.
lustria-pirates,MANUAL-ONLY,deferred,Not verifiable online: band sourced from printed Lustria manual (manual=lustria); requires offline verification.
lustria-pygmies,MANUAL-ONLY,deferred,Not verifiable online: band sourced from printed Lustria manual (manual=lustria); requires offline verification.
lustria-savage-goblins,MANUAL-ONLY,deferred,Not verifiable online: band sourced from printed Lustria manual (manual=lustria); requires offline verification.
lustria-tileans,MANUAL-ONLY,deferred,Not verifiable online: band sourced from printed Lustria manual (manual=lustria); requires offline verification.
trollheim-cult-of-the-possessed,MANUAL-ONLY,deferred,Not verifiable online: band sourced from printed Trollheim manual (manual=trollheim pp.72-76); requires offline verification.
trollheim-mercenaries,MANUAL-ONLY,deferred,Not verifiable online: band sourced from printed Trollheim manual (manual=trollheim pp.68-71); requires offline verification.
trollheim-skaven-clan-eshin,MANUAL-ONLY,deferred,Not verifiable online: band sourced from printed Trollheim manual (manual=trollheim pp.90-95); requires offline verification.
lustrian-reavers,blowpipe,creation-price,Verified on the Lustrian Reavers page (Tuomas Pirinen 2024): Blowpipe 15 gc printed in Hero Equipment List; Trading Post 25 gc (rare) applies outside creation, no market-exception clause.
lustrian-reavers,buckler,creation-price,Verified on the Lustrian Reavers page: Buckler 10 gc printed in Hero Equipment List (higher than TP 5 gc — band-specific premium price, printed as-is); creation-list price confirmed.
lustrian-reavers,javelin,creation-price,Verified on the Lustrian Reavers page: Javelin 10 gc printed in Hero Equipment List; Trading Post 5 gc is the general market price, no market-exception clause.
